record_id,sample_index,part_id,measurement_timestamp_sgt,production_date_sgt,batch_id,process_stage,shift,assembly_operator_id,appraiser_id,improvement_plan_id,improvement_actions,source_system,motor_current_a,jaw_alignment_error_mm,gear_backlash_deg,pad_thickness_mm,fastener_torque_nm,sensor_zero_offset_n,measured_force_n,target_n,lsl_n,usl_n,deviation_from_target_n,spec_status,defect_type,defect_flag,device_id,protocol_id,test_block_id,test_block_diameter_mm,closing_speed_mm_s,hold_time_s,contact_distance_from_jaw_root_mm,device_resolution_n,ctq,data_label,generation_model_version,process_seed,measurement_seed
BL-011,11,EG-B-011,2026-08-03T20:00:00+08:00,2026-08-03,BATCH-B-01,Before Improvement,Night,OP-B,APP-B,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,1.925,0.312,1.1,3.008,2.59,0.042,11.62,12.00,10.00,14.00,-0.38,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-012,12,EG-B-012,2026-08-03T20:30:00+08:00,2026-08-03,BATCH-B-01,Before Improvement,Night,OP-B,APP-C,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,1.624,0.297,0.846,3.231,2.112,-0.015,10.60,12.00,10.00,14.00,-1.40,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-013,13,EG-B-013,2026-08-03T21:00:00+08:00,2026-08-03,BATCH-B-01,Before Improvement,Night,OP-B,APP-A,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,1.975,0.131,0.842,2.917,2.405,0.036,11.88,12.00,10.00,14.00,-0.12,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-014,14,EG-B-014,2026-08-03T21:30:00+08:00,2026-08-03,BATCH-B-01,Before Improvement,Night,OP-B,APP-B,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,2.023,0.415,0.967,3.166,2.208,-0.026,11.39,12.00,10.00,14.00,-0.61,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-015,15,EG-B-015,2026-08-03T22:00:00+08:00,2026-08-03,BATCH-B-01,Before Improvement,Night,OP-B,APP-C,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,2.023,0.486,1.08,3.151,2.341,-0.024,12.20,12.00,10.00,14.00,0.20,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-016,16,EG-B-016,2026-08-03T22:30:00+08:00,2026-08-03,BATCH-B-01,Before Improvement,Night,OP-C,APP-A,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,1.702,0.168,1.195,3.0,2.173,-0.031,10.90,12.00,10.00,14.00,-1.10,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-017,17,EG-B-017,2026-08-03T23:00:00+08:00,2026-08-03,BATCH-B-01,Before Improvement,Night,OP-C,APP-B,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,1.932,0.364,0.691,3.058,2.267,0.060,11.90,12.00,10.00,14.00,-0.10,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-018,18,EG-B-018,2026-08-03T23:30:00+08:00,2026-08-03,BATCH-B-01,Before Improvement,Night,OP-C,APP-C,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,1.793,0.296,0.808,2.913,2.394,0.010,11.03,12.00,10.00,14.00,-0.97,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-019,19,EG-B-019,2026-08-04T00:00:00+08:00,2026-08-03,BATCH-B-01,Before Improvement,Night,OP-C,APP-A,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,1.967,0.126,0.417,3.018,2.402,0.029,12.16,12.00,10.00,14.00,0.16,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-020,20,EG-B-020,2026-08-04T00:30:00+08:00,2026-08-03,BATCH-B-01,Before Improvement,Night,OP-C,APP-B,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,2.015,0.389,0.718,2.963,2.511,-0.021,12.08,12.00,10.00,14.00,0.08,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-021,21,EG-B-021,2026-08-04T08:00:00+08:00,2026-08-04,BATCH-B-02,Before Improvement,Day,OP-B,APP-C,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,2.003,0.137,0.771,3.153,2.427,0.017,11.45,12.00,10.00,14.00,-0.55,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-022,22,EG-B-022,2026-08-04T08:30:00+08:00,2026-08-04,BATCH-B-02,Before Improvement,Day,OP-B,APP-A,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,1.705,0.299,0.794,3.126,2.517,-0.034,11.22,12.00,10.00,14.00,-0.78,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-023,23,EG-B-023,2026-08-04T09:00:00+08:00,2026-08-04,BATCH-B-02,Before Improvement,Day,OP-B,APP-B,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,2.381,0.125,0.97,2.827,2.121,0.044,12.87,12.00,10.00,14.00,0.87,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-024,24,EG-B-024,2026-08-04T09:30:00+08:00,2026-08-04,BATCH-B-02,Before Improvement,Day,OP-B,APP-C,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,2.129,0.322,0.747,2.915,2.273,-0.025,11.90,12.00,10.00,14.00,-0.10,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-025,25,EG-B-025,2026-08-04T10:00:00+08:00,2026-08-04,BATCH-B-02,Before Improvement,Day,OP-B,APP-A,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,1.907,0.485,0.721,2.946,2.425,-0.021,11.03,12.00,10.00,14.00,-0.97,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-026,26,EG-B-026,2026-08-04T10:30:00+08:00,2026-08-04,BATCH-B-02,Before Improvement,Day,OP-C,APP-B,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,1.457,0.399,0.843,3.111,2.178,0.023,10.23,12.00,10.00,14.00,-1.77,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-027,27,EG-B-027,2026-08-04T11:00:00+08:00,2026-08-04,BATCH-B-02,Before Improvement,Day,OP-C,APP-C,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,2.151,0.152,0.55,2.93,2.106,0.032,12.55,12.00,10.00,14.00,0.55,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-028,28,EG-B-028,2026-08-04T11:30:00+08:00,2026-08-04,BATCH-B-02,Before Improvement,Day,OP-C,APP-A,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,2.327,0.618,0.48,3.104,2.312,0.001,11.95,12.00,10.00,14.00,-0.05,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-029,29,EG-B-029,2026-08-04T12:00:00+08:00,2026-08-04,BATCH-B-02,Before Improvement,Day,OP-C,APP-B,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,1.986,0.469,1.114,3.023,2.357,-0.009,11.85,12.00,10.00,14.00,-0.15,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-030,30,EG-B-030,2026-08-04T12:30:00+08:00,2026-08-04,BATCH-B-02,Before Improvement,Day,OP-C,APP-C,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,1.89,0.469,1.061,2.878,2.067,-0.029,11.22,12.00,10.00,14.00,-0.78,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-031,31,EG-B-031,2026-08-04T20:00:00+08:00,2026-08-04,BATCH-B-02,Before Improvement,Night,OP-C,APP-A,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,1.616,0.563,0.786,2.854,2.43,-0.051,10.41,12.00,10.00,14.00,-1.59,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-032,32,EG-B-032,2026-08-04T20:30:00+08:00,2026-08-04,BATCH-B-02,Before Improvement,Night,OP-C,APP-B,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,1.755,0.39,0.829,3.048,1.991,0.019,11.09,12.00,10.00,14.00,-0.91,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-033,33,EG-B-033,2026-08-04T21:00:00+08:00,2026-08-04,BATCH-B-02,Before Improvement,Night,OP-C,APP-C,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,1.931,0.442,0.481,2.754,2.489,-0.031,11.33,12.00,10.00,14.00,-0.67,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-034,34,EG-B-034,2026-08-04T21:30:00+08:00,2026-08-04,BATCH-B-02,Before Improvement,Night,OP-C,APP-A,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,1.941,0.428,0.236,3.117,2.623,0.049,12.27,12.00,10.00,14.00,0.27,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-035,35,EG-B-035,2026-08-04T22:00:00+08:00,2026-08-04,BATCH-B-02,Before Improvement,Night,OP-C,APP-B,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,2.108,0.432,0.736,3.141,2.336,-0.006,12.00,12.00,10.00,14.00,0.00,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-036,36,EG-B-036,2026-08-04T22:30:00+08:00,2026-08-04,BATCH-B-02,Before Improvement,Night,OP-A,APP-C,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,2.172,0.331,0.827,3.034,2.349,0.027,12.31,12.00,10.00,14.00,0.31,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-037,37,EG-B-037,2026-08-04T23:00:00+08:00,2026-08-04,BATCH-B-02,Before Improvement,Night,OP-A,APP-A,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,1.718,0.27,0.327,3.136,2.962,0.028,11.64,12.00,10.00,14.00,-0.36,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-038,38,EG-B-038,2026-08-04T23:30:00+08:00,2026-08-04,BATCH-B-02,Before Improvement,Night,OP-A,APP-B,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,2.001,0.32,0.45,3.258,2.522,-0.035,11.82,12.00,10.00,14.00,-0.18,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-039,39,EG-B-039,2026-08-05T00:00:00+08:00,2026-08-04,BATCH-B-02,Before Improvement,Night,OP-A,APP-C,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,2.176,0.18,0.566,3.114,2.811,0.026,12.88,12.00,10.00,14.00,0.88,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-040,40,EG-B-040,2026-08-05T00:30:00+08:00,2026-08-04,BATCH-B-02,Before Improvement,Night,OP-A,APP-A,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,1.893,0.311,0.655,3.123,2.433,-0.074,11.64,12.00,10.00,14.00,-0.36,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-041,41,EG-B-041,2026-08-05T08:00:00+08:00,2026-08-05,BATCH-B-03,Before Improvement,Day,OP-C,APP-B,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,2.05,0.392,1.245,2.903,2.558,-0.013,11.84,12.00,10.00,14.00,-0.16,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-042,42,EG-B-042,2026-08-05T08:30:00+08:00,2026-08-05,BATCH-B-03,Before Improvement,Day,OP-C,APP-C,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,2.002,0.34,0.833,2.987,2.31,-0.017,11.42,12.00,10.00,14.00,-0.58,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-043,43,EG-B-043,2026-08-05T09:00:00+08:00,2026-08-05,BATCH-B-03,Before Improvement,Day,OP-C,APP-A,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,1.912,0.239,0.961,3.064,2.272,0.006,11.89,12.00,10.00,14.00,-0.11,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-044,44,EG-B-044,2026-08-05T09:30:00+08:00,2026-08-05,BATCH-B-03,Before Improvement,Day,OP-C,APP-B,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,2.053,0.186,0.886,3.05,2.228,-0.041,11.96,12.00,10.00,14.00,-0.04,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-045,45,EG-B-045,2026-08-05T10:00:00+08:00,2026-08-05,BATCH-B-03,Before Improvement,Day,OP-C,APP-C,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,2.117,0.498,0.782,3.074,2.226,0.038,12.38,12.00,10.00,14.00,0.38,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-046,46,EG-B-046,2026-08-05T10:30:00+08:00,2026-08-05,BATCH-B-03,Before Improvement,Day,OP-A,APP-A,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,1.411,0.102,1.132,2.875,2.484,0.014,10.24,12.00,10.00,14.00,-1.76,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-047,47,EG-B-047,2026-08-05T11:00:00+08:00,2026-08-05,BATCH-B-03,Before Improvement,Day,OP-A,APP-B,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,1.99,0.117,0.913,2.903,2.057,-0.009,11.73,12.00,10.00,14.00,-0.27,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-048,48,EG-B-048,2026-08-05T11:30:00+08:00,2026-08-05,BATCH-B-03,Before Improvement,Day,OP-A,APP-C,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,1.447,0.135,1.173,2.735,1.845,0.016,10.18,12.00,10.00,14.00,-1.82,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-049,49,EG-B-049,2026-08-05T12:00:00+08:00,2026-08-05,BATCH-B-03,Before Improvement,Day,OP-A,APP-A,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,2.431,0.141,0.793,3.177,2.412,-0.046,13.81,12.00,10.00,14.00,1.81,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-050,50,EG-B-050,2026-08-05T12:30:00+08:00,2026-08-05,BATCH-B-03,Before Improvement,Day,OP-A,APP-B,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,1.917,0.137,0.934,3.018,2.524,0.012,11.51,12.00,10.00,14.00,-0.49,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-051,51,EG-B-051,2026-08-05T20:00:00+08:00,2026-08-05,BATCH-B-03,Before Improvement,Night,OP-A,APP-C,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,2.161,0.324,1.271,2.99,2.4,-0.015,11.87,12.00,10.00,14.00,-0.13,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
BL-052,52,EG-B-052,2026-08-05T20:30:00+08:00,2026-08-05,BATCH-B-03,Before Improvement,Night,OP-A,APP-A,NOT-APPLIED,Baseline condition; no improvement actions applied,Synthetic EOL inspection generator,1.857,0.25,0.43,2.823,2.793,-0.077,11.44,12.00,10.00,14.00,-0.56,Within Specification,No Defect,0,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,2026090703,2026090705
