msa_record_id,measurement_order,measurement_timestamp_sgt,part_id,source_baseline_record_id,source_process_stage,appraiser_id,replicate,reference_force_n,reference_kind,measured_force_n,measurement_error_n,sensor_zero_offset_n,device_id,protocol_id,test_block_id,test_block_diameter_mm,closing_speed_mm_s,hold_time_s,contact_distance_from_jaw_root_mm,device_resolution_n,ctq,data_label,generation_model_version,study_design,synthetic_seed
MSA-001,1,2026-08-17T08:00:00+08:00,EG-B-155,BL-155,Before Improvement,APP-C,1,11.934089,Synthetic latent truth; not a measurement,11.94,0.005911,0.007,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,10 source grippers x 3 appraisers x 2 full-cycle repeats; fully randomized,2026090704
MSA-012,12,2026-08-17T08:33:00+08:00,EG-B-046,BL-046,Before Improvement,APP-C,1,10.273973,Synthetic latent truth; not a measurement,10.20,-0.073973,-0.036,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,10 source grippers x 3 appraisers x 2 full-cycle repeats; fully randomized,2026090704
MSA-013,13,2026-08-17T08:36:00+08:00,EG-B-146,BL-146,Before Improvement,APP-B,2,11.190409,Synthetic latent truth; not a measurement,11.29,0.099591,0.013,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,10 source grippers x 3 appraisers x 2 full-cycle repeats; fully randomized,2026090704
MSA-014,14,2026-08-17T08:39:00+08:00,EG-B-128,BL-128,Before Improvement,APP-A,1,11.583809,Synthetic latent truth; not a measurement,11.60,0.016191,-0.035,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,10 source grippers x 3 appraisers x 2 full-cycle repeats; fully randomized,2026090704
MSA-015,15,2026-08-17T08:42:00+08:00,EG-B-014,BL-014,Before Improvement,APP-C,1,11.391426,Synthetic latent truth; not a measurement,11.29,-0.101426,-0.032,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,10 source grippers x 3 appraisers x 2 full-cycle repeats; fully randomized,2026090704
MSA-016,16,2026-08-17T08:45:00+08:00,EG-B-192,BL-192,Before Improvement,APP-C,2,11.893139,Synthetic latent truth; not a measurement,11.79,-0.103139,-0.044,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,10 source grippers x 3 appraisers x 2 full-cycle repeats; fully randomized,2026090704
MSA-017,17,2026-08-17T08:48:00+08:00,EG-B-155,BL-155,Before Improvement,APP-B,2,11.934089,Synthetic latent truth; not a measurement,11.98,0.045911,-0.023,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,10 source grippers x 3 appraisers x 2 full-cycle repeats; fully randomized,2026090704
MSA-018,18,2026-08-17T08:51:00+08:00,EG-B-155,BL-155,Before Improvement,APP-C,2,11.934089,Synthetic latent truth; not a measurement,11.92,-0.014089,-0.008,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,10 source grippers x 3 appraisers x 2 full-cycle repeats; fully randomized,2026090704
MSA-019,19,2026-08-17T08:54:00+08:00,EG-B-155,BL-155,Before Improvement,APP-B,1,11.934089,Synthetic latent truth; not a measurement,11.92,-0.014089,-0.035,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,10 source grippers x 3 appraisers x 2 full-cycle repeats; fully randomized,2026090704
MSA-020,20,2026-08-17T08:57:00+08:00,EG-B-128,BL-128,Before Improvement,APP-C,1,11.583809,Synthetic latent truth; not a measurement,11.55,-0.033809,-0.033,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,10 source grippers x 3 appraisers x 2 full-cycle repeats; fully randomized,2026090704
MSA-021,21,2026-08-17T09:00:00+08:00,EG-B-192,BL-192,Before Improvement,APP-B,1,11.893139,Synthetic latent truth; not a measurement,11.96,0.066861,0.055,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,10 source grippers x 3 appraisers x 2 full-cycle repeats; fully randomized,2026090704
MSA-022,22,2026-08-17T09:03:00+08:00,EG-B-002,BL-002,Before Improvement,APP-A,1,12.883949,Synthetic latent truth; not a measurement,12.83,-0.053949,-0.007,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,10 source grippers x 3 appraisers x 2 full-cycle repeats; fully randomized,2026090704
MSA-023,23,2026-08-17T09:06:00+08:00,EG-B-015,BL-015,Before Improvement,APP-B,2,12.245564,Synthetic latent truth; not a measurement,12.23,-0.015564,-0.071,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,10 source grippers x 3 appraisers x 2 full-cycle repeats; fully randomized,2026090704
MSA-024,24,2026-08-17T09:09:00+08:00,EG-B-046,BL-046,Before Improvement,APP-B,1,10.273973,Synthetic latent truth; not a measurement,10.36,0.086027,0.082,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,10 source grippers x 3 appraisers x 2 full-cycle repeats; fully randomized,2026090704
MSA-025,25,2026-08-17T09:12:00+08:00,EG-B-046,BL-046,Before Improvement,APP-A,2,10.273973,Synthetic latent truth; not a measurement,10.17,-0.103973,-0.055,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,10 source grippers x 3 appraisers x 2 full-cycle repeats; fully randomized,2026090704
MSA-026,26,2026-08-17T09:15:00+08:00,EG-B-175,BL-175,Before Improvement,APP-A,1,12.452130,Synthetic latent truth; not a measurement,12.36,-0.092130,-0.024,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,10 source grippers x 3 appraisers x 2 full-cycle repeats; fully randomized,2026090704
MSA-027,27,2026-08-17T09:18:00+08:00,EG-B-046,BL-046,Before Improvement,APP-A,1,10.273973,Synthetic latent truth; not a measurement,10.21,-0.063973,-0.041,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,10 source grippers x 3 appraisers x 2 full-cycle repeats; fully randomized,2026090704
MSA-028,28,2026-08-17T09:21:00+08:00,EG-B-128,BL-128,Before Improvement,APP-A,2,11.583809,Synthetic latent truth; not a measurement,11.48,-0.103809,-0.057,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,10 source grippers x 3 appraisers x 2 full-cycle repeats; fully randomized,2026090704
MSA-029,29,2026-08-17T09:24:00+08:00,EG-B-002,BL-002,Before Improvement,APP-B,2,12.883949,Synthetic latent truth; not a measurement,12.95,0.066051,0.034,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,10 source grippers x 3 appraisers x 2 full-cycle repeats; fully randomized,2026090704
MSA-030,30,2026-08-17T09:27:00+08:00,EG-B-143,BL-143,Before Improvement,APP-B,1,10.828805,Synthetic latent truth; not a measurement,10.89,0.061195,0.030,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,10 source grippers x 3 appraisers x 2 full-cycle repeats; fully randomized,2026090704
MSA-031,31,2026-08-17T09:30:00+08:00,EG-B-175,BL-175,Before Improvement,APP-C,1,12.452130,Synthetic latent truth; not a measurement,12.41,-0.042130,-0.031,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,10 source grippers x 3 appraisers x 2 full-cycle repeats; fully randomized,2026090704
MSA-032,32,2026-08-17T09:33:00+08:00,EG-B-046,BL-046,Before Improvement,APP-B,2,10.273973,Synthetic latent truth; not a measurement,10.32,0.046027,-0.033,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,10 source grippers x 3 appraisers x 2 full-cycle repeats; fully randomized,2026090704
MSA-033,33,2026-08-17T09:36:00+08:00,EG-B-002,BL-002,Before Improvement,APP-A,2,12.883949,Synthetic latent truth; not a measurement,12.95,0.066051,0.007,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,10 source grippers x 3 appraisers x 2 full-cycle repeats; fully randomized,2026090704
MSA-034,34,2026-08-17T09:39:00+08:00,EG-B-128,BL-128,Before Improvement,APP-C,2,11.583809,Synthetic latent truth; not a measurement,11.60,0.016191,0.008,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,10 source grippers x 3 appraisers x 2 full-cycle repeats; fully randomized,2026090704
MSA-035,35,2026-08-17T09:42:00+08:00,EG-B-146,BL-146,Before Improvement,APP-C,1,11.190409,Synthetic latent truth; not a measurement,11.27,0.079591,0.011,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,10 source grippers x 3 appraisers x 2 full-cycle repeats; fully randomized,2026090704
MSA-036,36,2026-08-17T09:45:00+08:00,EG-B-015,BL-015,Before Improvement,APP-B,1,12.245564,Synthetic latent truth; not a measurement,12.25,0.004436,-0.013,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,10 source grippers x 3 appraisers x 2 full-cycle repeats; fully randomized,2026090704
MSA-037,37,2026-08-17T09:48:00+08:00,EG-B-155,BL-155,Before Improvement,APP-A,1,11.934089,Synthetic latent truth; not a measurement,11.84,-0.094089,-0.054,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,10 source grippers x 3 appraisers x 2 full-cycle repeats; fully randomized,2026090704
MSA-038,38,2026-08-17T09:51:00+08:00,EG-B-014,BL-014,Before Improvement,APP-A,2,11.391426,Synthetic latent truth; not a measurement,11.36,-0.031426,-0.061,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,10 source grippers x 3 appraisers x 2 full-cycle repeats; fully randomized,2026090704
MSA-039,39,2026-08-17T09:54:00+08:00,EG-B-128,BL-128,Before Improvement,APP-B,1,11.583809,Synthetic latent truth; not a measurement,11.60,0.016191,0.029,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,10 source grippers x 3 appraisers x 2 full-cycle repeats; fully randomized,2026090704
MSA-040,40,2026-08-17T09:57:00+08:00,EG-B-175,BL-175,Before Improvement,APP-A,2,12.452130,Synthetic latent truth; not a measurement,12.41,-0.042130,-0.046,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,10 source grippers x 3 appraisers x 2 full-cycle repeats; fully randomized,2026090704
MSA-041,41,2026-08-17T10:00:00+08:00,EG-B-146,BL-146,Before Improvement,APP-A,2,11.190409,Synthetic latent truth; not a measurement,11.15,-0.040409,-0.024,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,10 source grippers x 3 appraisers x 2 full-cycle repeats; fully randomized,2026090704
MSA-042,42,2026-08-17T10:03:00+08:00,EG-B-175,BL-175,Before Improvement,APP-B,1,12.452130,Synthetic latent truth; not a measurement,12.45,-0.002130,-0.012,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,10 source grippers x 3 appraisers x 2 full-cycle repeats; fully randomized,2026090704
MSA-043,43,2026-08-17T10:06:00+08:00,EG-B-143,BL-143,Before Improvement,APP-C,1,10.828805,Synthetic latent truth; not a measurement,10.88,0.051195,0.008,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,10 source grippers x 3 appraisers x 2 full-cycle repeats; fully randomized,2026090704
MSA-044,44,2026-08-17T10:09:00+08:00,EG-B-014,BL-014,Before Improvement,APP-A,1,11.391426,Synthetic latent truth; not a measurement,11.45,0.058574,0.006,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,10 source grippers x 3 appraisers x 2 full-cycle repeats; fully randomized,2026090704
MSA-045,45,2026-08-17T10:12:00+08:00,EG-B-146,BL-146,Before Improvement,APP-A,1,11.190409,Synthetic latent truth; not a measurement,11.11,-0.080409,-0.024,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,10 source grippers x 3 appraisers x 2 full-cycle repeats; fully randomized,2026090704
MSA-046,46,2026-08-17T10:15:00+08:00,EG-B-014,BL-014,Before Improvement,APP-B,1,11.391426,Synthetic latent truth; not a measurement,11.42,0.028574,-0.035,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,10 source grippers x 3 appraisers x 2 full-cycle repeats; fully randomized,2026090704
MSA-047,47,2026-08-17T10:18:00+08:00,EG-B-143,BL-143,Before Improvement,APP-C,2,10.828805,Synthetic latent truth; not a measurement,10.84,0.011195,0.019,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,10 source grippers x 3 appraisers x 2 full-cycle repeats; fully randomized,2026090704
MSA-048,48,2026-08-17T10:21:00+08:00,EG-B-175,BL-175,Before Improvement,APP-B,2,12.452130,Synthetic latent truth; not a measurement,12.43,-0.022130,-0.097,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,10 source grippers x 3 appraisers x 2 full-cycle repeats; fully randomized,2026090704
MSA-049,49,2026-08-17T10:24:00+08:00,EG-B-155,BL-155,Before Improvement,APP-A,2,11.934089,Synthetic latent truth; not a measurement,12.00,0.065911,0.079,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,10 source grippers x 3 appraisers x 2 full-cycle repeats; fully randomized,2026090704
MSA-050,50,2026-08-17T10:27:00+08:00,EG-B-143,BL-143,Before Improvement,APP-A,2,10.828805,Synthetic latent truth; not a measurement,10.87,0.041195,0.050,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,10 source grippers x 3 appraisers x 2 full-cycle repeats; fully randomized,2026090704
MSA-051,51,2026-08-17T10:30:00+08:00,EG-B-192,BL-192,Before Improvement,APP-C,1,11.893139,Synthetic latent truth; not a measurement,11.99,0.096861,0.058,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,10 source grippers x 3 appraisers x 2 full-cycle repeats; fully randomized,2026090704
MSA-052,52,2026-08-17T10:33:00+08:00,EG-B-128,BL-128,Before Improvement,APP-B,2,11.583809,Synthetic latent truth; not a measurement,11.67,0.086191,0.030,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,10 source grippers x 3 appraisers x 2 full-cycle repeats; fully randomized,2026090704
MSA-053,53,2026-08-17T10:36:00+08:00,EG-B-014,BL-014,Before Improvement,APP-B,2,11.391426,Synthetic latent truth; not a measurement,11.46,0.068574,0.052,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,10 source grippers x 3 appraisers x 2 full-cycle repeats; fully randomized,2026090704
MSA-054,54,2026-08-17T10:39:00+08:00,EG-B-175,BL-175,Before Improvement,APP-C,2,12.452130,Synthetic latent truth; not a measurement,12.44,-0.012130,-0.038,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,10 source grippers x 3 appraisers x 2 full-cycle repeats; fully randomized,2026090704
MSA-055,55,2026-08-17T10:42:00+08:00,EG-B-143,BL-143,Before Improvement,APP-A,1,10.828805,Synthetic latent truth; not a measurement,10.79,-0.038805,0.000,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,10 source grippers x 3 appraisers x 2 full-cycle repeats; fully randomized,2026090704
MSA-056,56,2026-08-17T10:45:00+08:00,EG-B-002,BL-002,Before Improvement,APP-C,1,12.883949,Synthetic latent truth; not a measurement,12.95,0.066051,-0.021,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,10 source grippers x 3 appraisers x 2 full-cycle repeats; fully randomized,2026090704
MSA-057,57,2026-08-17T10:48:00+08:00,EG-B-192,BL-192,Before Improvement,APP-B,2,11.893139,Synthetic latent truth; not a measurement,11.92,0.026861,0.003,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,10 source grippers x 3 appraisers x 2 full-cycle repeats; fully randomized,2026090704
MSA-058,58,2026-08-17T10:51:00+08:00,EG-B-146,BL-146,Before Improvement,APP-C,2,11.190409,Synthetic latent truth; not a measurement,11.09,-0.100409,-0.060,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,10 source grippers x 3 appraisers x 2 full-cycle repeats; fully randomized,2026090704
MSA-059,59,2026-08-17T10:54:00+08:00,EG-B-002,BL-002,Before Improvement,APP-B,1,12.883949,Synthetic latent truth; not a measurement,12.96,0.076051,0.016,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,10 source grippers x 3 appraisers x 2 full-cycle repeats; fully randomized,2026090704
MSA-060,60,2026-08-17T10:57:00+08:00,EG-B-046,BL-046,Before Improvement,APP-C,2,10.273973,Synthetic latent truth; not a measurement,10.33,0.056027,-0.005,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,10 source grippers x 3 appraisers x 2 full-cycle repeats; fully randomized,2026090704
