dataset,field_name,data_type,unit,definition,analysis_role,generation_reference,data_label
quality_baseline.csv,deviation_from_target_n,Numeric,N,Quantized measured force minus target.,outcome_or_derived,generation_config.json + generate_quality_data.py; deviation_from_target_n,Synthetic Data
quality_baseline.csv,spec_status,Text,,Within Specification when LSL <= force <= USL; otherwise Out of Specification.,outcome_or_derived,generation_config.json + generate_quality_data.py; spec_status,Synthetic Data
quality_baseline.csv,defect_type,Text,,"No Defect, Under Force, or Over Force; outcome label rather than root cause.",outcome_or_derived,generation_config.json + generate_quality_data.py; defect_type,Synthetic Data
quality_baseline.csv,defect_flag,Integer,,0 for within specification; 1 for outside specification.,outcome_or_derived,generation_config.json + generate_quality_data.py; defect_flag,Synthetic Data
quality_baseline.csv,device_id,Text,,"Same hypothetical measurement device across Before, MSA, and After.",input_or_metadata,generation_config.json + generate_quality_data.py; device_id,Synthetic Data
quality_baseline.csv,protocol_id,Text,,Same full-cycle measurement protocol across all datasets.,input_or_metadata,generation_config.json + generate_quality_data.py; protocol_id,Synthetic Data
quality_baseline.csv,test_block_id,Text,,Fixed hypothetical instrumented test block.,input_or_metadata,generation_config.json + generate_quality_data.py; test_block_id,Synthetic Data
quality_baseline.csv,test_block_diameter_mm,Numeric,mm,Assumed fixed nominal test-block diameter.,input_or_metadata,generation_config.json + generate_quality_data.py; test_block_diameter_mm,Synthetic Data
quality_baseline.csv,closing_speed_mm_s,Numeric,mm/s,Assumed fixed commanded closing speed.,input_or_metadata,generation_config.json + generate_quality_data.py; closing_speed_mm_s,Synthetic Data
quality_baseline.csv,hold_time_s,Numeric,s,Assumed 1.0 s hold before one reading; no time averaging.,input_or_metadata,generation_config.json + generate_quality_data.py; hold_time_s,Synthetic Data
quality_baseline.csv,contact_distance_from_jaw_root_mm,Numeric,mm,Assumed fixed contact location; not CAD-verified.,input_or_metadata,generation_config.json + generate_quality_data.py; contact_distance_from_jaw_root_mm,Synthetic Data
quality_baseline.csv,device_resolution_n,Numeric,N,Quantization step for measured_force_n in every dataset.,input_or_metadata,generation_config.json + generate_quality_data.py; device_resolution_n,Synthetic Data
quality_baseline.csv,ctq,Text,,"Gripping Force; one compressive sensor reading, not a two-jaw sum.",input_or_metadata,generation_config.json + generate_quality_data.py; ctq,Synthetic Data
quality_baseline.csv,data_label,Text,,Synthetic Data; every observation and relationship is simulated.,input_or_metadata,generation_config.json + generate_quality_data.py; data_label,Synthetic Data
quality_baseline.csv,generation_model_version,Text,,EOL-EG-V5; code and configuration jointly define generation.,input_or_metadata,generation_config.json + generate_quality_data.py; generation_model_version,Synthetic Data
quality_baseline.csv,process_seed,Integer,,Stage-specific deterministic seed for synthetic process factors and latent part residuals.,input_or_metadata,generation_config.json + generate_quality_data.py; process_seed,Synthetic Data
quality_baseline.csv,measurement_seed,Integer,,Stage-specific deterministic seed for zero residuals and repeatability noise.,input_or_metadata,generation_config.json + generate_quality_data.py; measurement_seed,Synthetic Data
quality_before_after.csv,record_id,Text,,Unique EOL inspection record ID across the combined dataset.,input_or_metadata,generation_config.json + generate_quality_data.py; record_id,Synthetic Data
quality_before_after.csv,sample_index,Integer,,Sequential sample number within each process stage; not a matched-pair identifier.,input_or_metadata,generation_config.json + generate_quality_data.py; sample_index,Synthetic Data
quality_before_after.csv,part_id,Text,,Unique assembled electric-gripper ID; Before and After are independent production cohorts.,input_or_metadata,generation_config.json + generate_quality_data.py; part_id,Synthetic Data
quality_before_after.csv,measurement_timestamp_sgt,Datetime,ISO 8601 UTC+08:00,Synthetic timezone-aware inspection timestamp.,input_or_metadata,generation_config.json + generate_quality_data.py; measurement_timestamp_sgt,Synthetic Data
quality_before_after.csv,production_date_sgt,Date,YYYY-MM-DD,Shift-start production date; remains fixed when a Night sample passes midnight.,input_or_metadata,generation_config.json + generate_quality_data.py; production_date_sgt,Synthetic Data
quality_before_after.csv,batch_id,Text,,Synthetic component batch ID; one batch covers both shifts of one production date.,input_or_metadata,generation_config.json + generate_quality_data.py; batch_id,Synthetic Data
quality_before_after.csv,process_stage,Text,,Before Improvement or After Improvement.,input_or_metadata,generation_config.json + generate_quality_data.py; process_stage,Synthetic Data
quality_before_after.csv,shift,Text,,Configured Day or Night production shift.,input_or_metadata,generation_config.json + generate_quality_data.py; shift,Synthetic Data
quality_before_after.csv,assembly_operator_id,Text,,Assembly/setup attribution; not attendance evidence and not the measurement appraiser.,input_or_metadata,generation_config.json + generate_quality_data.py; assembly_operator_id,Synthetic Data
quality_before_after.csv,appraiser_id,Text,,Synthetic person performing the force measurement.,input_or_metadata,generation_config.json + generate_quality_data.py; appraiser_id,Synthetic Data
quality_before_after.csv,improvement_plan_id,Text,,NOT-APPLIED for baseline; IMP-EG-01 for the encoded After intervention package.,input_or_metadata,generation_config.json + generate_quality_data.py; improvement_plan_id,Synthetic Data
quality_before_after.csv,improvement_actions,Text,,"Stage-level intervention description; actions are assumed, not physically verified.",input_or_metadata,generation_config.json + generate_quality_data.py; improvement_actions,Synthetic Data
quality_before_after.csv,source_system,Text,,Explicit synthetic origin; not a real MES export.,input_or_metadata,generation_config.json + generate_quality_data.py; source_system,Synthetic Data
quality_before_after.csv,motor_current_a,Numeric,A,Motor current under the stage-specific model; rejection-sampled bounded normal.,input_or_metadata,generation_config.json + generate_quality_data.py; motor_current_a,Synthetic Data
quality_before_after.csv,jaw_alignment_error_mm,Numeric,mm,Post-assembly jaw alignment error; rejection-sampled bounded normal.,input_or_metadata,generation_config.json + generate_quality_data.py; jaw_alignment_error_mm,Synthetic Data
quality_before_after.csv,gear_backlash_deg,Numeric,degree,Assumed transmission backlash; rejection-sampled bounded normal.,input_or_metadata,generation_config.json + generate_quality_data.py; gear_backlash_deg,Synthetic Data
quality_before_after.csv,pad_thickness_mm,Numeric,mm,Installed jaw-pad thickness; rejection-sampled bounded normal.,input_or_metadata,generation_config.json + generate_quality_data.py; pad_thickness_mm,Synthetic Data
quality_before_after.csv,fastener_torque_nm,Numeric,N*m,Assumed critical fastener torque; rejection-sampled bounded normal.,input_or_metadata,generation_config.json + generate_quality_data.py; fastener_torque_nm,Synthetic Data
quality_before_after.csv,sensor_zero_offset_n,Numeric,N,Synthetic pre-cycle zero residual generated by the shared measurement model.,input_or_metadata,generation_config.json + generate_quality_data.py; sensor_zero_offset_n,Synthetic Data
quality_before_after.csv,measured_force_n,Numeric,N,Single full-cycle load-cell reading quantized to the configured device resolution.,outcome_or_derived,generation_config.json + generate_quality_data.py; measured_force_n,Synthetic Data
quality_before_after.csv,target_n,Numeric,N,Demonstration target from configuration; not a validated product requirement.,input_or_metadata,generation_config.json + generate_quality_data.py; target_n,Synthetic Data
quality_before_after.csv,lsl_n,Numeric,N,Inclusive demonstration lower specification limit from configuration.,input_or_metadata,generation_config.json + generate_quality_data.py; lsl_n,Synthetic Data
quality_before_after.csv,usl_n,Numeric,N,Inclusive demonstration upper specification limit from configuration.,input_or_metadata,generation_config.json + generate_quality_data.py; usl_n,Synthetic Data
quality_before_after.csv,deviation_from_target_n,Numeric,N,Quantized measured force minus target.,outcome_or_derived,generation_config.json + generate_quality_data.py; deviation_from_target_n,Synthetic Data
quality_before_after.csv,spec_status,Text,,Within Specification when LSL <= force <= USL; otherwise Out of Specification.,outcome_or_derived,generation_config.json + generate_quality_data.py; spec_status,Synthetic Data
quality_before_after.csv,defect_type,Text,,"No Defect, Under Force, or Over Force; outcome label rather than root cause.",outcome_or_derived,generation_config.json + generate_quality_data.py; defect_type,Synthetic Data
quality_before_after.csv,defect_flag,Integer,,0 for within specification; 1 for outside specification.,outcome_or_derived,generation_config.json + generate_quality_data.py; defect_flag,Synthetic Data
quality_before_after.csv,device_id,Text,,"Same hypothetical measurement device across Before, MSA, and After.",input_or_metadata,generation_config.json + generate_quality_data.py; device_id,Synthetic Data
quality_before_after.csv,protocol_id,Text,,Same full-cycle measurement protocol across all datasets.,input_or_metadata,generation_config.json + generate_quality_data.py; protocol_id,Synthetic Data
quality_before_after.csv,test_block_id,Text,,Fixed hypothetical instrumented test block.,input_or_metadata,generation_config.json + generate_quality_data.py; test_block_id,Synthetic Data
quality_before_after.csv,test_block_diameter_mm,Numeric,mm,Assumed fixed nominal test-block diameter.,input_or_metadata,generation_config.json + generate_quality_data.py; test_block_diameter_mm,Synthetic Data
quality_before_after.csv,closing_speed_mm_s,Numeric,mm/s,Assumed fixed commanded closing speed.,input_or_metadata,generation_config.json + generate_quality_data.py; closing_speed_mm_s,Synthetic Data
quality_before_after.csv,hold_time_s,Numeric,s,Assumed 1.0 s hold before one reading; no time averaging.,input_or_metadata,generation_config.json + generate_quality_data.py; hold_time_s,Synthetic Data
quality_before_after.csv,contact_distance_from_jaw_root_mm,Numeric,mm,Assumed fixed contact location; not CAD-verified.,input_or_metadata,generation_config.json + generate_quality_data.py; contact_distance_from_jaw_root_mm,Synthetic Data
quality_before_after.csv,device_resolution_n,Numeric,N,Quantization step for measured_force_n in every dataset.,input_or_metadata,generation_config.json + generate_quality_data.py; device_resolution_n,Synthetic Data
quality_before_after.csv,ctq,Text,,"Gripping Force; one compressive sensor reading, not a two-jaw sum.",input_or_metadata,generation_config.json + generate_quality_data.py; ctq,Synthetic Data
quality_before_after.csv,data_label,Text,,Synthetic Data; every observation and relationship is simulated.,input_or_metadata,generation_config.json + generate_quality_data.py; data_label,Synthetic Data
quality_before_after.csv,generation_model_version,Text,,EOL-EG-V5; code and configuration jointly define generation.,input_or_metadata,generation_config.json + generate_quality_data.py; generation_model_version,Synthetic Data
quality_before_after.csv,process_seed,Integer,,Stage-specific deterministic seed for synthetic process factors and latent part residuals.,input_or_metadata,generation_config.json + generate_quality_data.py; process_seed,Synthetic Data
quality_before_after.csv,measurement_seed,Integer,,Stage-specific deterministic seed for zero residuals and repeatability noise.,input_or_metadata,generation_config.json + generate_quality_data.py; measurement_seed,Synthetic Data
quality_msa.csv,msa_record_id,Text,,Unique synthetic MSA reading ID.,input_or_metadata,generation_config.json + generate_quality_data.py; msa_record_id,Synthetic Data
quality_msa.csv,measurement_order,Integer,,Fully randomized synthetic MSA sequence number.,input_or_metadata,generation_config.json + generate_quality_data.py; measurement_order,Synthetic Data
quality_msa.csv,measurement_timestamp_sgt,Datetime,ISO 8601 UTC+08:00,Synthetic timezone-aware inspection timestamp.,input_or_metadata,generation_config.json + generate_quality_data.py; measurement_timestamp_sgt,Synthetic Data
quality_msa.csv,part_id,Text,,Unique assembled electric-gripper ID; Before and After are independent production cohorts.,input_or_metadata,generation_config.json + generate_quality_data.py; part_id,Synthetic Data
quality_msa.csv,source_baseline_record_id,Text,,Foreign key to the selected Before record.,input_or_metadata,generation_config.json + generate_quality_data.py; source_baseline_record_id,Synthetic Data
quality_msa.csv,source_process_stage,Text,,Process stage from which the retained MSA part was selected.,input_or_metadata,generation_config.json + generate_quality_data.py; source_process_stage,Synthetic Data
quality_msa.csv,appraiser_id,Text,,Synthetic person performing the force measurement.,input_or_metadata,generation_config.json + generate_quality_data.py; appraiser_id,Synthetic Data
quality_msa.csv,replicate,Integer,,"Full opening, removal, refixture, closing, and hold repeat number.",input_or_metadata,generation_config.json + generate_quality_data.py; replicate,Synthetic Data
quality_msa.csv,reference_force_n,Numeric,N,Latent model force rounded to 6 decimals; audit-only and not traceably measured.,audit_only,generation_config.json + generate_quality_data.py; reference_force_n,Synthetic Data
quality_msa.csv,reference_kind,Text,,Identifies the unmeasured synthetic reference.,audit_only,generation_config.json + generate_quality_data.py; reference_kind,Synthetic Data
quality_msa.csv,measured_force_n,Numeric,N,Single full-cycle load-cell reading quantized to the configured device resolution.,outcome_or_derived,generation_config.json + generate_quality_data.py; measured_force_n,Synthetic Data
quality_msa.csv,measurement_error_n,Numeric,N,Measured minus latent reference force; audit-only.,audit_only,generation_config.json + generate_quality_data.py; measurement_error_n,Synthetic Data
quality_msa.csv,sensor_zero_offset_n,Numeric,N,Synthetic pre-cycle zero residual generated by the shared measurement model.,input_or_metadata,generation_config.json + generate_quality_data.py; sensor_zero_offset_n,Synthetic Data
quality_msa.csv,device_id,Text,,"Same hypothetical measurement device across Before, MSA, and After.",input_or_metadata,generation_config.json + generate_quality_data.py; device_id,Synthetic Data
quality_msa.csv,protocol_id,Text,,Same full-cycle measurement protocol across all datasets.,input_or_metadata,generation_config.json + generate_quality_data.py; protocol_id,Synthetic Data
quality_msa.csv,test_block_id,Text,,Fixed hypothetical instrumented test block.,input_or_metadata,generation_config.json + generate_quality_data.py; test_block_id,Synthetic Data
quality_msa.csv,test_block_diameter_mm,Numeric,mm,Assumed fixed nominal test-block diameter.,input_or_metadata,generation_config.json + generate_quality_data.py; test_block_diameter_mm,Synthetic Data
quality_msa.csv,closing_speed_mm_s,Numeric,mm/s,Assumed fixed commanded closing speed.,input_or_metadata,generation_config.json + generate_quality_data.py; closing_speed_mm_s,Synthetic Data
quality_msa.csv,hold_time_s,Numeric,s,Assumed 1.0 s hold before one reading; no time averaging.,input_or_metadata,generation_config.json + generate_quality_data.py; hold_time_s,Synthetic Data
quality_msa.csv,contact_distance_from_jaw_root_mm,Numeric,mm,Assumed fixed contact location; not CAD-verified.,input_or_metadata,generation_config.json + generate_quality_data.py; contact_distance_from_jaw_root_mm,Synthetic Data
quality_msa.csv,device_resolution_n,Numeric,N,Quantization step for measured_force_n in every dataset.,input_or_metadata,generation_config.json + generate_quality_data.py; device_resolution_n,Synthetic Data
quality_msa.csv,ctq,Text,,"Gripping Force; one compressive sensor reading, not a two-jaw sum.",input_or_metadata,generation_config.json + generate_quality_data.py; ctq,Synthetic Data
quality_msa.csv,data_label,Text,,Synthetic Data; every observation and relationship is simulated.,input_or_metadata,generation_config.json + generate_quality_data.py; data_label,Synthetic Data
quality_msa.csv,generation_model_version,Text,,EOL-EG-V5; code and configuration jointly define generation.,input_or_metadata,generation_config.json + generate_quality_data.py; generation_model_version,Synthetic Data
quality_msa.csv,study_design,Text,,Configuration-derived crossed MSA dimensions and randomization statement.,input_or_metadata,generation_config.json + generate_quality_data.py; study_design,Synthetic Data
quality_msa.csv,synthetic_seed,Integer,,Deterministic seed for MSA selection-order randomization and measurement simulation.,input_or_metadata,generation_config.json + generate_quality_data.py; synthetic_seed,Synthetic Data
